#Coverage (X)	Coverage
1.0	10.490416509616978
2.0	5.220485967152314
3.0	3.5880411504467986
4.0	2.681030118338583
5.0	2.09729191041437
6.0	1.6941352916821586
7.0	1.402758464087512
8.0	1.1843476014075094
9.0	1.01606369047866
10.0	0.8835929624049186
11.0	0.7769493614856771
12.0	0.6902912556201244
13.0	0.6182324840305284
14.0	0.557766470878974
15.0	0.5066190868138278
16.0	0.46269113916126514
17.0	0.42483609502320974
18.0	0.39191074368486056
19.0	0.3628993038887529
20.0	0.33733192400434575
21.0	0.31464554143114754
22.0	0.29453574926428416
23.0	0.27658665762106693
24.0	0.26056253387028505
25.0	0.246000360586919
26.0	0.23276108067224754
27.0	0.220648495475686
28.0	0.20959938859603255
29.0	0.19939667908801084
30.0	0.1900407940894837
31.0	0.18146054395944589
32.0	0.17346319460986592
33.0	0.16607024531231218
34.0	0.1592478097976624
35.0	0.1528595361735512
36.0	0.1468984953149146
37.0	0.14133412313589133
38.0	0.13615811417835744
39.0	0.13131906952152406
40.0	0.12673103953883924
41.0	0.12242007963888568
42.0	0.11837631819146566
43.0	0.11457336756964764
44.0	0.11097140903422087
45.0	0.10758828745521498
46.0	0.1043575117079314
47.0	0.10130352356911487
48.0	0.09842537384353989
49.0	0.09568893896330621
50.0	0.09310627370761893
51.0	0.09064543765754252
