#Position (bp)	Coverage
2633811.0	0.950858271694186
7901432.0	1.139274446661975
1.3169053E7	0.9128086473950955
1.8436674E7	0.8134484238710415
2.3704295E7	0.6453353420832668
2.8971916E7	0.6164469691346435
3.4239537E7	0.5247744665001526
3.9507158E7	0.7345099429135088
4.4774779E7	0.5736022010695151
5.00424E7	0.5393939693079666
5.5310021E7	0.926082191562377
6.0577642E7	0.477052164534996
6.5845263E7	0.5355565633898111
7.1112884E7	0.4230627070550444
7.6380505E7	0.3080922108860907
8.1648126E7	0.3537617835451715
8.6915747E7	0.34714095793907723
9.2183368E7	0.27268096926487306
9.7450989E7	0.35887775525232357
1.0271861E8	0.20234390439251418
1.07986231E8	0.30157579674012236
1.13253852E8	0.1752842507082419
1.18521473E8	0.2382185430576725
1.23789094E8	0.18433254784275482
1.29056715E8	0.16690912273301364
1.34324336E8	0.2891533008923763
1.39591957E8	0.11937286300589962
1.44859578E8	0.20527710706597913
1.50127199E8	0.23144945317819943
1.5539482E8	0.2180377062055148
1.60662441E8	0.1909336301909344
1.65930062E8	0.3469763675101151
1.71197683E8	0.2662142929417283
1.76465304E8	0.5299314434352813
1.81732925E8	0.43715977288419194
1.87000546E8	0.3410866119639207
1.92268167E8	0.6116199324135126
1.97535788E8	0.7687506371472056
2.02803409E8	0.4607757467744927
2.0807103E8	0.3672443404717234
2.13338651E8	0.44074659129804516
2.18606272E8	0.43187807171396725
2.23873893E8	0.4889860147493527
2.29141514E8	0.6253378897228938
2.34409135E8	0.6083797600472776
2.39676756E8	0.5166466987659135
2.44944377E8	0.36978913251351986
2.50211998E8	0.48782230156649464
2.55479619E8	0.46303103431321274
2.6074724E8	0.4737005566649537
2.66014861E8	0.7231169440626044
2.71282482E8	0.6904418522137413
2.76550103E8	0.5483507640356055
2.81817724E8	0.7004121974606753
2.87085345E8	0.7246984929249846
2.92352966E8	0.6913589645116838
2.97620587E8	0.750121734270556
3.02888208E8	0.9431633369219236
3.06281868E8	0.5368385450013456
3.089156785E8	1.2068821069381914
3.1342345E8	1.0273578907821956
3.18691071E8	1.1798483603888739
3.23958692E8	0.7988317686485038
3.29226313E8	0.5997481595581763
3.34493934E8	0.6160957669505835
3.39761555E8	0.5049958985280072
3.45029176E8	0.4430575016691596
3.50296797E8	0.40117483774933693
3.55564418E8	0.4550669078128438
3.60832039E8	0.32256003231819447
3.6609966E8	0.2871983386807821
3.71367281E8	0.7082341345362546
3.76634902E8	0.2020802179959416
3.81902523E8	0.2625217341946203
3.87170144E8	0.2885801768957941
3.92437765E8	0.553150843616122
3.97705386E8	0.20720302390775647
4.02973007E8	0.6531982843868228
4.08240628E8	0.09232877612113703
4.13508249E8	0.29004250685461236
4.1877587E8	0.2986408855154917
4.24043491E8	0.2459381569023284
4.29311112E8	0.1656315061391091
4.34578733E8	0.2713781040815199
4.39846354E8	0.20118987299959507
4.45113975E8	0.20734616252763818
4.50381596E8	0.2115541342097315
4.55649217E8	0.1874375548278815
4.60916838E8	0.3402970714863503
4.66184459E8	6.808781421442431
4.7145208E8	0.2935129539501798
4.76719701E8	0.3429288097985789
4.81987322E8	0.7112271365005189
4.87254943E8	0.3378173942278687
4.92522564E8	0.3177424875479842
4.97790185E8	0.455064250066586
5.03057806E8	0.6780066371517617
5.08325427E8	0.5254054913973499
5.13593048E8	0.7542195993219709
5.18860669E8	0.8488067004061226
5.2412829E8	0.9348206714188435
5.29395911E8	0.8274048189875467
5.34663532E8	0.8180588542721657
5.39931153E8	0.4350704046475629
5.45198774E8	0.7585272364887299
5.49658289E8	0.6521841294689256
5.522920995E8	0.72516600544978
5.55734016E8	0.7389468604518055
5.61001637E8	0.6345439430817061
5.66269258E8	0.5731126062410337
5.71536879E8	0.4220409934579576
5.768045E8	0.4231857227389746
5.82072121E8	0.36960422930958775
5.87339742E8	0.3727348645621999
5.92607363E8	0.30466884386708915
5.97874984E8	0.5306215082672044
6.03142605E8	0.7575190014619503
6.08410226E8	0.3419351923762169
6.13677847E8	0.17017644207888152
6.18945468E8	0.22090845184192257
6.24213089E8	0.21562580147660584
6.2948071E8	0.21322205982548859
6.34748331E8	0.188157804063732
6.40015952E8	0.07937928715828264
6.45283573E8	0.6404494552664286
6.50551194E8	0.2499414821225749
6.55818815E8	0.14363239116861293
6.61086436E8	0.15613537876016517
6.66354057E8	0.2065063147101889
6.71621678E8	0.2160631905750243
6.76889299E8	0.27215435582780156
6.8215692E8	0.2739737729802505
6.87424541E8	0.27485899232309996
6.92692162E8	0.3539780101871414
6.97959783E8	0.4364269942731263
7.03227404E8	0.39274674468797205
7.08495025E8	0.43041194497478086
7.13762646E8	0.4004908477660029
7.19030267E8	0.42870624139436
7.24297888E8	0.5980384693583688
7.29565509E8	0.5642670571781835
7.3483313E8	0.5894452163509866
7.40100751E8	0.7309291993482446
7.45368372E8	0.5828767863139737
7.50635993E8	0.754637435001493
7.55903614E8	0.6673090186252959
7.61171235E8	0.6863565165375414
7.66438856E8	0.8106103305458005
7.71706477E8	0.5641842873661563
7.76974098E8	0.715758973548021
7.82241719E8	0.7187607081071322
7.860136785E8	0.8976030379150709
7.88647489E8	0.37763658421374086
7.92776961E8	0.7637688816260699
7.98044582E8	0.2792180758638482
8.03312203E8	0.45763675860507047
8.08579824E8	0.3456370532352271
8.13847445E8	0.381709314318551
8.19115066E8	0.5251896444334169
8.24382687E8	0.4844114639227082
8.29650308E8	0.32366052910792176
8.34917929E8	0.22342343915782856
8.4018555E8	0.2273381095564772
8.45453171E8	0.20344933699672016
8.50720792E8	0.1988246686692152
8.55988413E8	0.28425792212461753
8.61256034E8	0.29598010183344625
8.66523655E8	0.13969797751204957
8.71791276E8	0.30474060301604844
8.77058897E8	0.13675794063392185
8.82326518E8	0.20477934915970605
8.87594139E8	0.12120822663589503
8.9286176E8	0.1245085779709664
8.98129381E8	0.5481214385013652
9.03397002E8	0.6594720842672622
9.08664623E8	0.13327078770473427
9.13932244E8	0.19085029086185207
9.19199865E8	0.2806847721200899
9.24467486E8	0.25580636875735746
9.29735107E8	0.27122224624740465
9.35002728E8	0.28170724507325035
9.40270349E8	0.42931904174579
9.4553797E8	0.5597976771677385
9.50805591E8	0.46855819733424253
9.56073212E8	0.3223065972286161
9.61340833E8	0.6392149321297034
9.66608454E8	0.6280191760189278
9.71876075E8	0.7163778487480401
9.77143696E8	0.5852782498968699
9.82411317E8	0.3284309938015662
9.87678938E8	0.4733432796323046
9.92946559E8	0.3490579523469893
9.9821418E8	0.294661480011565
1.003481801E9	0.22056826032093046
1.008749422E9	0.2908798867648223
1.014017043E9	0.25418020772565075
1.019284664E9	0.4629805371343155
1.024552285E9	0.7108812498089745
1.029819906E9	1.429033903540137
1.0333000745E9	0.7882326391432467
1.035933885E9	1.5364595702543145
1.040355148E9	1.503065425549788
1.045622769E9	0.8202336500670796
1.05089039E9	0.649452191036523
1.056158011E9	0.6184015516682009
1.061425632E9	0.41582452496107825
1.066693253E9	0.3857075138853004
1.071960874E9	0.4277355944932257
1.077228495E9	0.4791379258302752
1.082496116E9	0.4733681485437164
1.087763737E9	0.3006789972171498
1.093031358E9	0.5386835917010734
1.098298979E9	0.4201598786245252
1.1035666E9	0.40894077231448506
1.108834221E9	0.44365720312831924
1.114101842E9	0.547927233185531
1.119369463E9	0.49531315939396553
1.124637084E9	0.3426554416120674
1.129904705E9	0.30541092459005686
1.135172326E9	0.29326635306526416
1.140439947E9	0.2173263794035296
1.145707568E9	0.3430977665249645
1.150975189E9	0.1784526639255178
1.15624281E9	0.1346786338652686
1.161510431E9	0.23974636747784248
1.166778052E9	0.15325874811418666
1.172045673E9	0.15309377800718768
1.177313294E9	0.26812331411086715
1.182580915E9	0.2895567088064992
1.187848536E9	0.1656318858171459
1.193116157E9	0.33467517879513353
1.198383778E9	0.4068990536714771
1.203651399E9	0.5470826393926215
1.20891902E9	0.5466735363079462
1.214186641E9	0.6367058298233681
1.219454262E9	0.5766259569547619
1.224721883E9	0.6562419733690028
1.229989504E9	0.6934432070948157
1.235257125E9	0.6051304754081587
1.240524746E9	0.7762323827017927
1.245792367E9	1.285445934701832
1.251059988E9	2.0410342733465447
1.2558712355E9	1.2099665799745296
1.258505046E9	0.23355650580062165
1.26159523E9	0.3667921439298689
1.266862851E9	0.3617310356990376
1.272130472E9	77.04458540202494
1.277398093E9	0.1991538495271395
1.282665714E9	14.665228572822532
1.287933335E9	0.38747510498572313
1.293200956E9	0.2661869561230772
1.298468577E9	0.21643242746583324
1.303736198E9	0.15770686615456958
1.309003819E9	0.17757522798242317
1.31427144E9	0.20985222740967888
1.319539061E9	0.3867643477007932
1.324806682E9	0.4897404350085171
1.330074303E9	0.18854203823699542
1.335341924E9	0.1869845989299534
1.340609545E9	0.33754326668528356
1.345877166E9	0.33366618441228024
1.351144787E9	0.5994816255763276
1.356412408E9	0.3658057403902065
1.361680029E9	0.2117671335883884
1.36694765E9	0.4226847375693885
1.372215271E9	0.5335495852871723
1.377482892E9	0.41014966718372486
1.382750513E9	0.4256059803846936
1.388018134E9	0.584553634363596
